kotwica;anchor
pies;dog
kot;cat
kropla;drop
pytanie;question
wykrzyknienie;exclamation
cel;target
znak;sign
ogień;fire
słońce;sun
księżyc;moon
kaktus;cactus
igloo;igloo
ptak;bird
kłódka;padlock
ołówek;pencil
wargi;lips
czaszka;skull
żarówka;light bulb
ser;cheese
pająk;spider
pajęczyna;spider's web
kostka lodu;ice cube
zielony;green
drzewo;tree
marchewka;carrot
serce;heart
klaun;clown
zebra;zebra
dinozaur;dinosaur
żółw;turtle
klucz wiolinowy;clef
klucz;key
zegar;clock
samochód;car
człowiek;person
delfin;dolphin
śnieżynka;snowflake
bałwan;snowman
jabłko;apple
duch;ghost
okulary;glasses
smok;dragon
oko;eye
nożyczki;scissors
bomba;bomb
biedronka;ladybug
piorun;bolt
liść;leaf
butelka;bottle
świeca;candle
młotek;hammer
kwiat;flower
koniczyna;clover
koń;horse